id_personaggio,giorno,punti,descrizione,tipo
EDU001,1,+3,Ha tenuto un discorso motivazionale che ha emozionato tutti,bonus
EDU001,1,+3,Bagnare i bambini in modo creativo,bonus
EDU001,1,-1,Chiede di farsi aggiungere punti,malus
ANI011,1,+3,100 Metri Dietro ai Bambini,bonus
ANI015,1,+3,100 Metri Dietro ai Bambini,bonus
ANI009,1,+3,Aggiustatutto,bonus
EDU007,1,+2,Ha intrattenuto i bambini più piccoli,bonus
EDU010,1,+1,Per aver caricato i voti entro la sera,bonus
EDU006,1,+3,Lavorare dopo l'orario di oratorio,bonus
EDU008,1,+3,Lavorare dopo l'orario di oratorio,bonus
ANI010,1,+3,Giocare fino alle 18,bonus
ANI013,1,+3,Giocare fino alle 18,bonus
ANI005,1,+3,Giocare fino alle 18,bonus
ANI004,1,+3,Giocare fino alle 18,bonus
EDU001,1,+3,Lavorare dopo l'orario di oratorio,bonus
EDU002,1,+3,Lavorare dopo l'orario di oratorio,bonus
ANI009,1,+3,Lavorare dopo l'orario di oratorio,bonus
EDU007,1,+3,Lavorare dopo l'orario di oratorio,bonus
ANI010,1,+2,Non farsi bagnare nei giochi d'acqua,bonus
EDU001,1,+2,Idea geniale,bonus
